Series_reference,Period,Data_value,Suppressed,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3
7,2012.12,73075.8709314224,0,1,6,0,0,2,10,2
19,2015.12,73075.8709314224,0,1,6,0,0,2,15,2
20,2012.12,73075.8709314224,0,1,6,0,0,2,11,1
29,2015.03,73075.8709314224,0,1,6,0,0,2,25,2
38,2012.06,73075.8709314224,0,1,6,0,0,2,31,1
48,2020.03,73075.8709314224,0,1,6,0,1,2,12,1
67,2016.09,73075.8709314224,0,1,6,0,1,2,7,2
15,2014.03,73075.8709314224,0,1,6,0,0,2,0,2
63,2016.12,73075.8709314224,0,1,6,0,1,2,18,2
51,2016.12,73075.8709314224,0,1,6,0,1,2,13,2
66,2011.12,73075.8709314224,0,1,6,0,1,2,7,1
11,2014.03,73075.8709314224,0,1,6,0,0,2,36,2
13,2011.09,73075.8709314224,0,1,6,0,0,2,27,2
1,2020.09,73075.8709314224,0,1,6,0,0,2,2,2
54,2011.06,73075.8709314224,0,1,6,0,1,2,16,1
16,2017.09,73075.8709314224,0,1,6,0,0,2,32,1
13,2015.03,73075.8709314224,0,1,6,0,0,2,27,2
34,2015.12,73075.8709314224,0,1,6,0,0,2,4,1
53,2016.03,73075.8709314224,0,1,6,0,1,2,29,2
34,2017.09,73075.8709314224,0,1,6,0,0,2,4,1
63,2017.06,73075.8709314224,0,1,6,0,1,2,18,2
35,2018.03,73075.8709314224,0,1,6,0,0,2,4,2
27,2017.09,73075.8709314224,0,1,6,0,0,2,1,2
38,2012.12,73075.8709314224,0,1,6,0,0,2,31,1
16,2012.12,73075.8709314224,0,1,6,0,0,2,32,1
29,2011.12,73075.8709314224,0,1,6,0,0,2,25,2
34,2020.12,73075.8709314224,0,1,6,0,0,2,4,1
22,2011.06,73075.8709314224,0,1,6,0,0,2,26,1
12,2014.12,73075.8709314224,0,1,6,0,0,2,27,1
44,2016.06,73075.8709314224,0,1,6,0,1,2,33,1
33,2020.03,73075.8709314224,0,1,6,0,0,2,14,2
62,2013.09,73075.8709314224,0,1,6,0,1,2,18,1
46,2013.09,73075.8709314224,0,1,6,0,1,2,6,1
11,2013.09,73075.8709314224,0,1,6,0,0,2,36,2
42,2019.12,73075.8709314224,0,1,6,0,1,2,5,1
39,2018.12,73075.8709314224,0,1,6,0,0,2,31,2
66,2018.03,73075.8709314224,0,1,6,0,1,2,7,1
4,2013.12,73075.8709314224,0,1,6,0,0,2,17,1
1,2016.06,73075.8709314224,0,1,6,0,0,2,2,2
15,2017.12,73075.8709314224,0,1,6,0,0,2,0,2
13,2017.03,73075.8709314224,0,1,6,0,0,2,27,2
64,2015.12,73075.8709314224,0,1,6,0,1,2,35,1
1,2013.12,73075.8709314224,0,1,6,0,0,2,2,2
34,2014.06,73075.8709314224,0,1,6,0,0,2,4,1
20,2017.03,73075.8709314224,0,1,6,0,0,2,11,1
74,2017.09,73075.8709314224,0,0,0,0,2,1,3,0
1,2013.09,73075.8709314224,0,1,6,0,0,2,2,2
18,2015.09,73075.8709314224,0,1,6,0,0,2,15,1
27,2012.06,73075.8709314224,0,1,6,0,0,2,1,2
46,2018.06,73075.8709314224,0,1,6,0,1,2,6,1
54,2016.03,73075.8709314224,0,1,6,0,1,2,16,1
49,2014.12,73075.8709314224,0,1,6,0,1,2,12,2
16,2013.06,73075.8709314224,0,1,6,0,0,2,32,1
65,2017.09,73075.8709314224,0,1,6,0,1,2,35,2
25,2017.09,73075.8709314224,0,1,6,0,0,2,24,2
36,2015.03,73075.8709314224,0,1,6,0,0,2,23,1
0,2017.09,73075.8709314224,0,1,6,0,0,2,2,1
33,2011.12,73075.8709314224,0,1,6,0,0,2,14,2
29,2018.12,73075.8709314224,0,1,6,0,0,2,25,2
7,2012.03,73075.8709314224,0,1,6,0,0,2,10,2
52,2014.12,73075.8709314224,0,1,6,0,1,2,29,1
50,2020.03,73075.8709314224,0,1,6,0,1,2,13,1
51,2017.12,73075.8709314224,0,1,6,0,1,2,13,2
9,2013.12,73075.8709314224,0,1,6,0,0,2,8,2
27,2019.03,73075.8709314224,0,1,6,0,0,2,1,2
57,2019.03,73075.8709314224,0,1,6,0,1,2,34,2
65,2012.03,73075.8709314224,0,1,6,0,1,2,35,2
61,2015.06,73075.8709314224,0,1,6,0,1,2,20,2
42,2017.06,73075.8709314224,0,1,6,0,1,2,5,1
60,2012.06,73075.8709314224,0,1,6,0,1,2,20,1
63,2019.09,73075.8709314224,0,1,6,0,1,2,18,2
7,2017.06,73075.8709314224,0,1,6,0,0,2,10,2
27,2015.12,73075.8709314224,0,1,6,0,0,2,1,2
6,2012.12,73075.8709314224,0,1,6,0,0,2,10,1
41,2017.03,73075.8709314224,0,1,6,0,1,2,21,2
14,2020.06,73075.8709314224,0,1,6,0,0,2,0,1
44,2018.09,73075.8709314224,0,1,6,0,1,2,33,1
23,2018.09,73075.8709314224,0,1,6,0,0,2,26,2
71,2019.12,73075.8709314224,0,1,6,0,1,2,28,2
38,2017.03,73075.8709314224,0,1,6,0,0,2,31,1
8,2020.12,73075.8709314224,0,1,6,0,0,2,8,1
66,2018.06,73075.8709314224,0,1,6,0,1,2,7,1
